Network Pass #,GS Name,SC Name,SC NORAD ID,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Max El (deg)
225,VCC-NET,VCC-A,44428,2019-12-31 14:00:20.650,2019-12-31 14:11:35.788,675.138,40.137
226,VCC-NET,VCC-B,44431,2019-12-31 14:03:02.718,2019-12-31 14:14:19.502,676.784,42.599
227,VCC-NET,VCC-C,44430,2019-12-31 14:50:02.999,2019-12-31 15:01:23.044,680.045,81.097
228,VCC-NET,VCC-A,44428,2019-12-31 15:36:53.212,2019-12-31 15:47:19.423,626.211,24.175
229,VCC-NET,VCC-B,44431,2019-12-31 15:39:37.140,2019-12-31 15:49:57.548,620.408,22.696
230,VCC-NET,VCC-C,44430,2020-01-01 05:52:59.766,2020-01-01 06:02:07.769,548.003,13.502
231,VCC-NET,VCC-A,44428,2020-01-01 06:38:50.101,2020-01-01 06:49:27.098,636.997,42.165
232,VCC-NET,VCC-B,44431,2020-01-01 06:41:29.879,2020-01-01 06:52:10.494,640.615,45.359
233,VCC-NET,VCC-C,44430,2020-01-01 07:27:42.519,2020-01-01 07:38:59.000,676.481,80.517
234,VCC-NET,VCC-A,44428,2020-01-01 08:15:09.163,2020-01-01 08:26:01.475,652.312,28.286
235,VCC-NET,VCC-B,44431,2020-01-01 08:17:53.669,2020-01-01 08:28:43.354,649.685,26.996
236,VCC-NET,VCC-C,44430,2020-01-01 09:05:16.646,2020-01-01 09:15:07.225,590.579,13.882
237,VCC-NET,VCC-C,44430,2020-01-01 12:20:56.558,2020-01-01 12:30:46.549,589.991,13.148
238,VCC-NET,VCC-A,44428,2020-01-01 13:08:08.681,2020-01-01 13:18:58.475,649.794,23.718
239,VCC-NET,VCC-B,44431,2020-01-01 13:10:50.659,2020-01-01 13:21:43.196,652.537,24.703
240,VCC-NET,VCC-C,44430,2020-01-01 13:57:06.486,2020-01-01 14:08:29.530,683.044,68.887
241,VCC-NET,VCC-A,44428,2020-01-01 14:44:26.611,2020-01-01 14:55:36.509,669.898,51.139
242,VCC-NET,VCC-B,44431,2020-01-01 14:47:09.503,2020-01-01 14:58:16.677,667.174,47.466
